area_m2,bedrooms,frontage,price_million_vnd,province,district,distance_to_center_km,log_area,area_sq,log_distance,area_dist_inter
20.0,2.0,1,1780.0,Hà Nội,Hai Bà Trưng,2.31,3.044522437723423,400.0,1.1969481893889715,46.2
42.0,3.0,0,15200.0,Hà Nội,Long Biên,4.08,3.7612001156935624,1764.0,1.6253112615903906,171.36
80.0,5.0,0,10600.0,Hồ Chí Minh,Tân Bình,5.89,4.394449154672439,6400.0,1.9300710850255671,471.2
56.0,3.0,0,5300.0,Hồ Chí Minh,Gò Vấp,7.86,4.04305126783455,3136.0,2.1815467646169897,440.16
45.0,6.0,0,10600.0,Hà Nội,Ba Đình,3.18,3.828641396489095,2025.0,1.430311246536665,143.1
104.0,7.0,0,2300.0,Long An,Thủ Thừa,,4.653960350157523,10816.0,1.9300710850255671,612.56
59.0,4.0,1,15000.0,Hà Nội,Đống Đa,3.27,4.0943445622221,3481.0,1.451613827240533,192.93
60.0,3.0,0,5550.0,Hồ Chí Minh,Nhà Bè,14.7,4.110873864173311,3600.0,2.7536607123542622,882.0
52.0,4.0,0,5900.0,Hà Nội,Đông Anh,12.02,3.970291913552122,2704.0,2.5664866367804233,625.04
89.0,9.0,1,11000.0,Khánh Hòa,Nha Trang,,4.499809670330265,7921.0,1.9300710850255671,524.2099999999999
48.0,8.0,0,8530.0,Hồ Chí Minh,Quận 4,2.12,3.8918202981106265,2304.0,1.1378330018213911,101.76
50.0,2.0,0,2980.0,Hà Nội,Cầu Giấy,6.65,3.9318256327243257,2500.0,2.0347056478384444,332.5
43.0,3.0,0,19000.0,Hà Nội,Tây Hồ,5.66,3.784189633918261,1849.0,1.8961194845522977,243.38
95.0,5.0,1,10500.0,Khánh Hòa,Nha Trang,,4.564348191467836,9025.0,1.9300710850255671,559.55
132.0,5.0,1,13800.0,Hồ Chí Minh,Tân Phú,8.06,4.890349128221754,17424.0,2.203869120054888,1063.92
35.0,8.0,0,9500.0,Hà Nội,Nam Từ Liêm,9.46,3.58351893845611,1225.0,2.347558458636777,331.1
100.0,,0,4000.0,Hồ Chí Minh,Hóc Môn,16.91,4.61512051684126,10000.0,2.8853592160726205,1691.0
36.0,3.0,0,10500.0,Hà Nội,Tây Hồ,5.66,3.6109179126442243,1296.0,1.8961194845522977,203.76
